China;62,387;38,68; 0.62;Accountant
Saudi Arabia;55,379;41,534; 0.75;Accountant
Switzerland;47,001;88,362; 1.88;Accountant
France;45,328;51,674; 1.14;Accountant
Japan;42,323;55,443; 1.31;Accountant
Brazil;39,145;25,444; 0.65;Accountant
Thailand;39,143;29,749; 0.76;Accountant
Spain;38,168;32,061; 0.84;Accountant
Belgium;37,916;42,466; 1.12;Accountant
USA;37,327;40,686; 1.09;Accountant
Portugal;36,804;28,707; 0.78;Accountant
UK;36,561;36,561; 1.00;Accountant
Australia;34,567;38,715; 1.12;Accountant
Germany;33,879;34,557; 1.02;Accountant
Greece;33,32;28,988; 0.87;Accountant
South Korea;32,066;36,876; 1.15;Accountant
Canada;29,547;30,729; 1.04;Accountant
Ireland;29,287;34,266; 1.17;Accountant
South Africa;29,282;19,619; 0.67;Accountant
Netherlands;28,451;32,719; 1.15;Accountant
Italy;26,419;28,004; 1.06;Accountant
Russia;25,585;15,095; 0.59;Accountant
Norway;24,559;39,295;  1.60;Accountant
New Zealand;24,246;27,155; 1.12;Accountant
Poland;24,01;14,406; 0.60;Accountant
USA;36,528;39,816; 1.09;Bricklayer
Canada;36,144;37,59; 1.04 ;Bricklayer
China;33,416;20,718; 0.62;Bricklayer
Japan;30,682;40,193; 1.31;Bricklayer
Ireland;30,1;35,217; 1.17;Bricklayer
UK;28,972;28,972; 1.00;Bricklayer
Australia;27,713;31,038; 1.12;Bricklayer
Saudi Arabia;27,243;20,432; 0.75;Bricklayer
Switzerland;24,995;46,991; 1.88;Bricklayer
France;23,337;26,604; 1.14;Bricklayer
New Zealand;22,434;25,126; 1.12;Bricklayer
Germany;22,378;22,826; 1.02;Bricklayer
Spain;21,677;18,209; 0.84;Bricklayer
Brazil;21,642;14,067; 0.65;Bricklayer
Netherlands;21,37;24,575; 1.15;Bricklayer
Thailand;21,026;15,98; 0.76;Bricklayer
Russia;20,114;11,867; 0.59;Bricklayer
Belgium;19,793;22,168; 1.12  ;Bricklayer
Poland;19,048;11,429; 0.60;Bricklayer
Portugal;18,949;14,78; 0.78;Bricklayer
Italy;18,614;19,731; 1.06;Bricklayer
Greece;17,492;15,218; 0.87;Bricklayer
Norway;17,376;27,802; 1.60;Bricklayer
South Korea;16,481;18,953; 1.15;Bricklayer
South Africa;16,249;10,887; 0.67;Bricklayer
China;44,489;27,583; 0.62;Builder
USA;43,94;47,895; 1.09;Builder
Saudi Arabia;40,583;30,437; 0.75;Builder
Russia;39,642;23,389; 0.59;Builder
Australia;38,011;42,572; 1.12;Builder
Switzerland;34,443;64,753; 1.88;Builder
France;33,218;37,868; 1.14;Builder
Japan;32,74;42,89; 1.31;Builder
New Zealand;30,726;34,413; 1.12;Builder
Brazil;28,686;18,646; 0.65;Builder
Thailand;28,686;21,801; 0.76;Builder
Canada;28,238;29,367; 1.04;Builder
Spain;27,97;23,495; 0.84;Builder
Belgium;27,785;31,119; 1.12;Builder
Portugal;26,972;21,038; 0.78;Builder
Germany;26,911;27,449; 1.02;Builder
Italy;25,913;27,468; 1.06;Builder
Norway;25,875;41,4; 1.60;Builder
UK;24,938;24,938; 1.00;Builder
Netherlands;24,82;28,543; 1.15;Builder
Greece;24,417;21,243; 0.87;Builder
Poland;22,06;13,236; 0.60;Builder
Ireland;21,988;25,726; 1.17;Builder
South Africa;21,458;14,377; 0.67;Builder
South Korea;18,245;20,982; 1.15;Builder
Saudi Arabia;132,78;99,585; 0.75;Dentist
Switzerland;117;219,96; 1.88;Dentist
Spain;98,801;82,993; 0.84;Dentist
Netherlands;96,314;110,761; 1.15;Dentist
